Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
NLRP2,4.292114133,3.595161819,2.200073179,1.587578801,7.308409398
NLRP3,1.922435088,1.444451815,1.330310748,1.29942925,5.681747758
NLRP3P1,0.455780209,0.364370455,0.241763815,0.156622374,5.150312496
NLRP4,0.072034355,0.055404802,0.027070057,0.014378028,4.834423516
NLRP6,0.15214884,0.181439612,0.151221848,0.1492209,4.995893499
NLRP7,0.012664208,0.013571531,0.014532908,0.012329878,4.836170999
NLRP9,0.138073406,0.16550607,0.145554337,0.121728574,4.962897336
NLRX1,26.95232658,22.39689826,19.71724951,17.3751979,29.66688317
NMB,21.43288817,11.33558927,16.61703315,21.76892364,14.31713773
NMD3,32.05112868,26.57809498,26.89358073,28.32426373,24.01474348
NME1,13.70279653,12.21588626,10.04057289,8.358719518,16.97857017
NME2,23.42412984,34.55814014,9.979478436,3.940923203,7.395652735
NME2P1,1.47268968,1.348761634,1.381766349,1.097226012,7.073448439
NME3,64.25046046,68.93418781,72.28907324,62.03147603,111.9415706
NME4,29.37280125,29.93457094,32.81935386,33.40015352,38.29593358
NME5,1.484131354,1.114100459,1.421602237,1.513062776,5.833495212
NME6,13.24684018,10.34266132,9.47656743,9.250727021,13.61745841
NME7,6.758185816,6.888356423,8.989342455,11.3245681,10.85462505
NME8,0.269364875,0.220035453,0.185948986,0.144809475,5.063753359
NME9,0.277883974,0.34075425,0.37472293,0.403294608,5.161169756
NMI,13.46561451,11.62774518,10.09358356,9.34607136,14.34612225
NMNAT1,6.21281686,5.109932366,4.438716663,4.423433176,8.449799158
NMNAT2,1.507318301,1.772137894,2.290293118,2.733848053,6.299671577
NMNAT3,11.28494789,16.28386391,12.78892058,11.8189325,14.81744686
NMRAL1,24.63354165,24.52248515,20.88328072,18.26740678,28.52534751
NMRAL2P,5.328014362,8.565520667,6.897600912,4.601973997,13.35247785
NMRK1,25.31409286,22.91254673,17.73211259,16.38236148,20.71554025
NMRK2,1.427731241,0.144942206,0.146347503,0.166353689,5.088782492
NMT1,37.89651871,32.37862235,30.23677147,30.65022065,28.1024458
NMT2,19.45986045,16.01133667,16.79586295,18.68890705,15.54148232
NMU,39.18074978,69.04483618,58.54795244,45.55459301,69.75285454
NMUR1,0.685258372,0.524394042,1.225322495,1.829180732,5.115847287
NNAT,36.41381576,17.24022236,27.89152246,44.07264034,14.26758264
NNMT,37.17212305,39.77298298,32.43684603,32.94433763,28.09594853
NNT,18.48681268,14.31705995,15.5803515,18.36938297,13.83688177
NOA1,29.3161806,26.94392304,24.43028809,24.25480353,23.32706307
NOB1,56.72656795,54.6289277,48.45087974,44.92452542,49.00345161
